NODE_231_length_87_cov_99.172417	167
NODE_300_length_87_cov_25.873564	167
NODE_186_length_84_cov_55.869049	164
NODE_212_length_84_cov_385.345245	164
NODE_30_length_84_cov_72.392860	164
NODE_161_length_81_cov_1426.036987	161
NODE_214_length_81_cov_21.925926	161
NODE_217_length_81_cov_28.938272	161
NODE_230_length_81_cov_43.654320	161
NODE_264_length_81_cov_45.567902	161
NODE_294_length_81_cov_35.370369	161
